date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 18:21:34;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:35;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:36;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:37;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:38;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:39;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:40;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:41;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:42;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:44;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:44;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:45;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:46;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:47;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:48;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:49;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:50;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:52;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:52;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:53;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:54;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:56;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:56;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:57;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:58;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:21:59;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:00;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:22:01;192.168.0.40;192.168.0.33;TCP;21;3;Permit;IN;
